created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 28 23:59:49 +0000 2023;1718417315702972432;"@EAAANNH @zone1_war @savicali @NUgarislucu LSI bilang Tingkat Kepuasan Publik ke Jokowi 90 persen.. Indikator 80 persen lebih 🤣🤣🤣🤣 lah di survey sama pemilih anies 21-25 persenan belum lagi pro prabowo yg masih anti jokowi kyk fans dewa 30 persen..sekalian ambil margin of error + angka oposisi 🤣 YANG PERCAYA KOCAK 🤣";0;0;0;0;in;1714893544614416384;1718220830520611299;jobirganjar;https://twitter.com/jobirganjar/status/1718417315702972432
Sat Oct 28 23:59:03 +0000 2023;1718417124132290902;"@ata0923 @PartaiSocmed Apalagi Demokrat. Skalipun saat ntu Nasdem udah mulai sowanan ama PKS n saat ntu kejadiannya setelah Nasdem ama Anies makan siang yang disaat bersamaan Mega ama Prabowo masak nasi goreng. Dulu Nasdem blom ada pertimbangan mo usung Anies bener2. Makanya kek Irma Chaniago gedeg";0;0;0;0;in;2862109627;1718287042277159154;FelixSGL1;https://twitter.com/FelixSGL1/status/1718417124132290902
Sat Oct 28 23:58:52 +0000 2023;1718417077797826860;"@Dennysiregar7 Kalau bagi saya, Pilpres tahun 2024 adalah unik, dua kandidat yang membingungkan, Ganjar Mahfud APA Prabowo Gibran, tapi aku tetap memilih Ganjar Mahfud";0;0;0;0;in;1519250397747347456;1716833023176610007;JudokoS;https://twitter.com/JudokoS/status/1718417077797826860
Sat Oct 28 23:58:16 +0000 2023;1718416928245739951;"@mihrabku Kampanye pilpres 2019, Di banyak tempat kampanye Prabowo Sandi juga membludak audiennya, sebaliknya Jokowi Makruf lebih banyak ditemukan audien artifisial..  Kenyataannya.. yg disahkan yang kampanyenya lebih sepi.";0;0;0;0;in;87234890;1718236742162202790;alpha_n;https://twitter.com/alpha_n/status/1718416928245739951
Sat Oct 28 23:58:02 +0000 2023;1718416868795650475;"Prabowo dan Budiman Bakal Satu Panggung Acara Nasional Pekan Depan - CNN Indonesia https://t.co/lZzNTzjXUz #Jokowinomics #MenataMasaDepan #PrabowoPetugasRakyat";0;0;9;0;in;795445014864203777;1718416868795650475;AzhareAkiba;https://twitter.com/AzhareAkiba/status/1718416868795650475
Sat Oct 28 23:57:58 +0000 2023;1718416851812925621;"@sigitwid kalo yg paling sepuh tentu pak Prabowo ( kalau jadi ) juara kalau versi Indonesia";0;0;0;0;in;1699041575593250816;1717896385037807907;BennyGabee;https://twitter.com/BennyGabee/status/1718416851812925621
Sat Oct 28 23:57:55 +0000 2023;1718416838458216787;"@YRadianto Bukan cara menikmati kalimatnya mungkin ya, tapa cara mendapatkan untuk jadi cawapres prabowo.. Sampuun..";0;0;0;0;in;1656499880515506178;1718272693219537289;uaswahan89;https://twitter.com/uaswahan89/status/1718416838458216787
Sat Oct 28 23:57:42 +0000 2023;1718416783705874504;"@Paltiwest bobby juga terpaksa dukung prabowo gibran, karena kalo sampe berlawanan you know lah, pasti bakal dikucilin di keluarga, brengsek emang tuh mas-mas tukang es teh solo😀🤌";0;0;0;0;in;1466707969576366082;1718404628088512819;tyoojani;https://twitter.com/tyoojani/status/1718416783705874504
Sat Oct 28 23:57:37 +0000 2023;1718416763317338200;"@AzzamIzzulhaq @aniesbaswedan @cakimiNOW @susipudjiastuti @prabowo Pak Anis sdh pernah sowan ke beliau bg";0;0;0;0;in;1586367067250642944;1717867229822505348;a_mwandi;https://twitter.com/a_mwandi/status/1718416763317338200
Sat Oct 28 23:57:35 +0000 2023;1718416752986755112;"@yoggii_e @tempodotco jangankan dinasti. pernah prabowo bilang korupsi kalau dikit gpp";0;0;0;0;in;1651925923334356992;1716863776304345336;tamanakalcom;https://twitter.com/tamanakalcom/status/1718416752986755112
Sat Oct 28 23:57:31 +0000 2023;1718416737694331204;"@RijhondhyS @prabowo @adearmando61 @AlmaghribiS @are_inismyname @BANGSAygSUJUD @bengkeldodo @Chaves1305 @EllyKoro @gananjaya @gibran_tweet @Kimberley_2024 Ayah @prabowo Calon Pemimpin Hebat, berkali kali tumbang tak kenal gentar, Indonesia butuh pemimpin seperti Ayah, Orang2 yg slalu bertahan berjuang bersama Ayah, mereka adalah Pemenang Sbb Mreka memilih ttap berdiri diatas Prinsip dn tdk akn menghianati Prinsip. Itulah Pejuang.";0;1;0;1;in;1660885617306406912;1718248798487732569;zaqila959;https://twitter.com/zaqila959/status/1718416737694331204
Sat Oct 28 23:57:30 +0000 2023;1718416735051899238;"@yennywahid @ganjarpranowo Prabowo Gibran presiden baru kita";0;0;0;0;in;1424955995415973889;1718265553247461679;DwiHart08845750;https://twitter.com/DwiHart08845750/status/1718416735051899238
Sat Oct 28 23:57:28 +0000 2023;1718416723756675085;"@adearmando61 Halah banyak dalih.... Intinya @prabowo dan koalisinya,terutama @psi_id gak percaya diri dan takut kalah,makanya narik² @jokowi dan anak²nya..";0;0;0;0;in;1637199236;1718065825767358747;Whyd801;https://twitter.com/Whyd801/status/1718416723756675085
Sat Oct 28 23:57:16 +0000 2023;1718416674863624495;"@gm_gm 1. Apakah Prabowo punya hubungan keluarga dg gibran?  2. Apakah pak jokowi pengurus gerindra?  3. Apa kriteria untuk nepotisme?";0;0;0;1;in;1685909237501956096;1718268539629683016;sipeyang_;https://twitter.com/sipeyang_/status/1718416674863624495
Sat Oct 28 23:57:08 +0000 2023;1718416640818430103;"Dan inilah pernyataan Prabowo ttg "TUKANG2 SURVEI" 👇👇👇 https://t.co/mqBlHcwTC5";0;0;0;0;in;1230274691270492160;1718416640818430103;RadenSetyaki2;https://twitter.com/RadenSetyaki2/status/1718416640818430103
Sat Oct 28 23:57:07 +0000 2023;1718416635567145141;",,,, kalau putusan MKMK batalkan keputusan MK ttg batasan umur Capres Cawapres , apakah pencalonan Gibran sbg Cawapres dari Prabowo batal ?? (3)";0;3;3;13;in;131814756;1718416631200944633;susno2g;https://twitter.com/susno2g/status/1718416635567145141
Sat Oct 28 23:56:54 +0000 2023;1718416580764483673;"@xquitavee Sebenarnya pak Prabowo pernah bilang ke pak Jokowi ingin mencalonkan Gibran sebagai cawapres nya tapi pak Jokowi tidak setuju  saat itu   pak Jokowi gak mau nanti disangka aji mumpung kalau gak perca tanya saja langsung ke Prabowo";0;0;0;0;in;1276876868340203520;1718406805200753080;bendolganteng;https://twitter.com/bendolganteng/status/1718416580764483673
Sat Oct 28 23:56:44 +0000 2023;1718416538523558188;"@polentamel @yunartowijaya Nyerang Prabowo old gitu?? Kalo dibilang prabowo young baru nyerang 🤣🤣😭😜";0;0;0;0;in;1324564910911549440;1718058830633046370;Sarinah116;https://twitter.com/Sarinah116/status/1718416538523558188
Sat Oct 28 23:56:35 +0000 2023;1718416503169810539;"@tempodotco Prabowo seharuanya realistis dlm melakukan penilaian, publik mulai cerdas menyikapi setiap ucapan dari para politikus, jika ingin terpilih prabowo harus mengkritik kebijakan jokowi yg salah secara objektif, prabowo hrs berfikir bagaimana menyelesaikan hutang Indonesia 7, 5 t!!";0;0;0;1;in;615466002;1718414621957374388;jojoe_gaza;https://twitter.com/jojoe_gaza/status/1718416503169810539
Sat Oct 28 23:56:25 +0000 2023;1718416462208172130;"@TajukPolitik Borok survey bayaran :   Prabowo : Jabar 50.7% dan jatim 36.4%  (emang bisa ??😂😂)  Ganjar : jatim 43.1% dan jateng 63% (emang bisa ? 😂😂)  Anies : Jabar  26.8%, Jatim 15.4%, Jateng 9.2% (banyak ruang menaikkan)  Pantesan elektabilitas survey bayaran prabowo ganjar ringgi 😂 https://t.co/PNGQRvYj07";1;0;2;6;in;1704144445648846848;1718241446875344925;Komentator_baik;https://twitter.com/Komentator_baik/status/1718416462208172130
Sat Oct 28 23:56:15 +0000 2023;1718416416888733913;"@kikysaputrii Roasting pak Prabowo tentang tim mawar dong mirs. Kikiy  wirrrrrr😁👌";0;0;0;0;in;1046813487295430657;1718257576901742854;adipurnama1997;https://twitter.com/adipurnama1997/status/1718416416888733913
Sat Oct 28 23:55:58 +0000 2023;1718416349318512931;"@Syarman59 @jokowi @prabowo @SBYudhoyono Siap apapun yang sengaja mengobok-obok konstitusi negara sebagai acuan bernegara, bagi saya wajib saya lawan";0;0;0;1;in;1608317053294854144;1718151855833018493;denmaspudji;https://twitter.com/denmaspudji/status/1718416349318512931
Sat Oct 28 23:55:52 +0000 2023;1718416322172985660;"Prabowo Subianto Menegaskan Akan Melanjutkan Program Kerja Presiden Jokowi https://t.co/CEFuNeledS";0;0;0;0;in;1240106903016853504;1718416322172985660;ChakrawalaS;https://twitter.com/ChakrawalaS/status/1718416322172985660
Sat Oct 28 23:55:07 +0000 2023;1718416134293401719;"Prabowo: Saya Bersaksi Jokowi Sungguh-Sungguh Bekerja demi Rakyat https://t.co/YRlOfqgLgD";0;0;0;0;in;58880688;1718416134293401719;pikiran_rakyat;https://twitter.com/pikiran_rakyat/status/1718416134293401719
Sat Oct 28 23:54:42 +0000 2023;1718416029959995424;"@seeksixsuck bukannya Ganjar lebih bnyak memenangkan penguna tik tok ketimbang Prabowo...ini sih hasil survei Juli ya";0;1;0;0;in;1605057417384902656;1718308258858111148;FransSimo;https://twitter.com/FransSimo/status/1718416029959995424
Sat Oct 28 23:54:31 +0000 2023;1718415983042568261;"@adiawae Kayanya soal hutang ke China untuk project strategis yg tidak terkendalikan'. Kreditur punya bargain' besar soal ini. Kreditur lebih melihat persoalan 'personal' (simbol) negara sebagai jaminan atas debitur'. Debitur terjebak permainan ini. Prabowo lebih rasional soal ini";0;0;0;1;in;52040718;1718268736577421406;daitadit;https://twitter.com/daitadit/status/1718415983042568261
Sat Oct 28 23:54:15 +0000 2023;1718415915694588364;"@hipohan .  .  kalo benar2 peduli dgn NKRI, Banyak Cawapres anak muda YANG LEBIH BAIK DARI Gibran.  Prabowo mendekati UDZUR/ sepuh.  Apa mau NKRI, kemudian presidennya Gibran ???  awas musibah ! .";0;0;0;0;in;2779743853;1718402916514717815;123Laptop;https://twitter.com/123Laptop/status/1718415915694588364
Sat Oct 28 23:54:03 +0000 2023;1718415864796749918;"@indralfiansyahh prabowo aj g si";0;1;0;0;in;1252617166022537217;1718291319129604223;ethereals0ull;https://twitter.com/ethereals0ull/status/1718415864796749918
Sat Oct 28 23:54:00 +0000 2023;1718415851001626694;"Wah!!!!! Bagaimana ini @prabowo ? Benarkah?? @tvOneNews  mohon telusuri, agar tidak jadi Fitnah.";0;0;0;0;in;1655787021334630401;1718415851001626694;ahmadalbaroesy;https://twitter.com/ahmadalbaroesy/status/1718415851001626694
Sat Oct 28 23:53:39 +0000 2023;1718415765291122877;"@GunRomli Wajar dong  qadari pro prabowo";0;0;0;0;in;4112980994;1718413094651838776;AliTirta2;https://twitter.com/AliTirta2/status/1718415765291122877
Sat Oct 28 23:53:32 +0000 2023;1718415736035758300;"@BANGSAygSUJUD @alextham878 @Gi_N0ng @Minietweets_ @Lembayung071 @Ndaxwz @bengkeldodo @P4P4B0W0_2024 @Ndons_Back @Chaves1305 Exercisenya daddy Prabowo mah keren donk n berkelas.👍  Kagak pernah tebar pesona  sambil lari" pake legging, maen tik tok'an  &amp  hobi nonton bokepan 🤣 Paraah ...   Beda level men 🥰 https://t.co/wY5Q2mIvkl";2;17;15;26;in;1329955252913668096;1718403847411122495;mpoklela7;https://twitter.com/mpoklela7/status/1718415736035758300
Sat Oct 28 23:53:30 +0000 2023;1718415725742985501;"@msaid_didu Jijik";0;0;0;0;in;1623180959830138880;1718066118357836168;Prabo1Prabowo;https://twitter.com/Prabo1Prabowo/status/1718415725742985501
Sat Oct 28 23:52:50 +0000 2023;1718415557480042634;"@Candra4smara Itungan mereka Gibran yg bakal jadi presiden, mereka bertaruh di umur Prabowo";0;0;0;0;in;21325278;1718311891922219337;devils4dvocate;https://twitter.com/devils4dvocate/status/1718415557480042634
Sat Oct 28 23:52:33 +0000 2023;1718415488697671716;"@OposisiCerdas Si Fahri udah ga jadi anggota DPR dungunya kebangetan pikiranya pendek pula, Coba kalau Prabowo/Gibran jadi pemenang baru itungan bulan Prabowo sakit ngga bisa melanjutkan tugasnya otomatis yg meneruskan Pemerintahan Si Bocil... Ngga kebayang kalo ini terjadi...🙄";0;1;0;3;in;1581602113976950785;1718410026904404163;dedifrozenfood;https://twitter.com/dedifrozenfood/status/1718415488697671716
Sat Oct 28 23:52:15 +0000 2023;1718415412503928929;"@vousmonavis @e100ss Banyak oknum sopir truk yg tidak punya etika dan bodoh.....karena mereka nyopir karbitan dalam arti bisanya hanya belok dan injak gas tanpa berpikir haluan, tanpa keahlian dan gak punya SIM.... Mohon yg berwenang utk merazia dan bila perlu pemilik armadanya juga disanksi tegas.";0;0;0;0;in;1623180959830138880;1718098631000228242;Prabo1Prabowo;https://twitter.com/Prabo1Prabowo/status/1718415412503928929
Sat Oct 28 23:52:15 +0000 2023;1718415409966354629;"@HusinShihab @prabowo @kikysaputrii He hwe Muka jelek cermin dipecah";0;0;0;0;in;710635383139278850;1718312101398380732;chusnulhadiset1;https://twitter.com/chusnulhadiset1/status/1718415409966354629
Sat Oct 28 23:51:39 +0000 2023;1718415262914138538;"MKMKMKMKMKM... 🤣🤣 Buzzer² Prabowo rame² posting gambar ini dengan narasi seolah pendukung Ganjar menolak pemimpin muda. Kebalik woyy!! Justru kami ingin pilih presiden yang muda, bukan Capres yang udah bangkotan. Kami bukan menolak usianya, tapi menolak pemanfaatan MK sebagai… https://t.co/tkLdqGyo2V";5;41;83;319;in;1101696077147729920;1718415262914138538;03__nakula;https://twitter.com/03__nakula/status/1718415262914138538
Sat Oct 28 23:51:08 +0000 2023;1718415132576072152;"@Putri96960977 @CandraF57328229 Semalam Aku bermimpi beliau [Pak Prabowo] meninggal dunia…. Apa ya artinya..? 🤔";0;1;0;0;in;126055346;1718168457395777704;jerrysujari;https://twitter.com/jerrysujari/status/1718415132576072152
Sat Oct 28 23:50:45 +0000 2023;1718415033439486136;"Bergabungnya Gibran ke Prabowo tak sertamerta naikkan elektabilitas, bahkan justru cenderung menurun. Fenomena apakah ini?? -  https://t.co/K6M7DVeExn via @YouTube";0;0;0;0;in;240551313;1718415033439486136;nurhidayatsardi;https://twitter.com/nurhidayatsardi/status/1718415033439486136
Sat Oct 28 23:50:44 +0000 2023;1718415030360916342;"@VIVAcoid Jualannya kok Gibran, jualan Prabowo donk, hahhaa Prabowo dah 72 tahun, bentar lagi ketemu 72 bidadari";0;0;0;0;in;2248413540;1718189752426655771;Gapazhe;https://twitter.com/Gapazhe/status/1718415030360916342
Sat Oct 28 23:50:36 +0000 2023;1718414998496751788;"@tvOneNews Sesama kaum pemuja nepotisme saling tertarik satu sama lain 😂🤣 Sukarnoism gusdurism  Bodohnya, itu PDIP nyindir soal jgn pilih yg nepotisme. Dengan maksud nyuruh spy jgn milih prabowo.  Pdhl mah nepotisme ga cuma soal keluarga. Nepotisme itu juga soal teman, saudara jauh.";0;0;0;0;in;778692608;1718202226550993376;akubukanako;https://twitter.com/akubukanako/status/1718414998496751788
Sat Oct 28 23:50:34 +0000 2023;1718414988719849499;"Ah anying ini mah butuh seluruh kekayaan Prabowo biar pusing kepala ilang";0;0;0;0;in;1524768203297083394;1718414988719849499;masnextdoor;https://twitter.com/masnextdoor/status/1718414988719849499
Sat Oct 28 23:50:31 +0000 2023;1718414974601887780;"@Gojekmilitan 😆😆😆 jalanan depan rumah tuh bang";0;0;0;0;in;158912165;1718333935900578217;JHPrabowo;https://twitter.com/JHPrabowo/status/1718414974601887780
Sat Oct 28 23:50:13 +0000 2023;1718414901604212903;"@Kimberley_2024 @prabowo @99propaganda @alextham878 @Alie_Fahnoor @AlmaghribiS @BANGSAygSUJUD @Bank_Joee_ @Chaves1305 @DarekaRendy samgking ga ada bahan buay kampanye...akhirnya tugas ulama diambil alih sama dia demi pencitraan diri dihadapan para BUIH";0;1;0;4;in;1603758737239396354;1718400825310253526;yusufagro;https://twitter.com/yusufagro/status/1718414901604212903
Sat Oct 28 23:50:12 +0000 2023;1718414894545182979;"@Kimberley_2024 gs usah takut dgn doa, klo memang jujur dan tdk dzolim hrsnya ga perlu panik dn Prabowo jg boleh berdoa untuk kemengannya, Tuhan akan slalu brsama orang jujur dn tdak menghalalkn sgala cara, keadilan akan mencari jalannya sendiri yg penting tetap berdoa dn berusaha";0;0;0;0;in;1328174373375643650;1718194730243342712;BagusGenjing16;https://twitter.com/BagusGenjing16/status/1718414894545182979
Sat Oct 28 23:50:10 +0000 2023;1718414888354316399;"@Dennysiregar7 @_Rizmaya__ Percayalah yg penting bukan Anis ,Ganjar boleh Prabowo boleh.";0;0;0;0;in;974299627821309952;1718205044720325037;telojava4;https://twitter.com/telojava4/status/1718414888354316399
Sat Oct 28 23:50:05 +0000 2023;1718414866577502337;"@ParmiFajri .  kalo benar2 peduli dgn NKRI, Banyak Cawapres anak muda YANG LEBIH BAIK DARI Gibran.  Prabowo mendekati UDZUR/ sepuh.  Apa mau NKRI, kemudian presidennya Gibran ???  awas musibah !!!  .";0;0;0;0;in;2779743853;1718115376914194905;123Laptop;https://twitter.com/123Laptop/status/1718414866577502337
Sat Oct 28 23:49:24 +0000 2023;1718414696687231117;"@kafiradikalis Dulu emang milih Prabowo, sekarang udah pindah ke Amin";0;0;0;0;in;1700715401628520448;1718196123893195179;icalyopi;https://twitter.com/icalyopi/status/1718414696687231117
Sat Oct 28 23:49:17 +0000 2023;1718414663606788154;"Wkwkwk  Jd mirip Prabowo yg selalu bawa" nm Jkw  Klo ga salah prnh kritik jg kan?  Selamat ya";0;0;0;0;in;2292624098;1718414663606788154;RAbdinyo;https://twitter.com/RAbdinyo/status/1718414663606788154
Sat Oct 28 23:49:11 +0000 2023;1718414638424232272;"@Quvvatt @klipfahri Intinya, karena programnya gagal. Mereka mencoba cuci tangan.  Seandainya berhasil, udah siang malam itu dibahas sama mereka sebagai megaprestasinya Prabowo.";0;1;1;2;in;1297750327186268161;1718408992215674917;bayuaji_bayuaji;https://twitter.com/bayuaji_bayuaji/status/1718414638424232272
Sat Oct 28 23:49:07 +0000 2023;1718414621957374388;"Cerita Prabowo soal Kekaguman ke Jokowi: Ilmu Orang Solo Ini Luar Biasa https://t.co/VatJ6ucnra #TempoNasional";19;94;6;56;in;18129942;1718414621957374388;tempodotco;https://twitter.com/tempodotco/status/1718414621957374388
Sat Oct 28 23:48:59 +0000 2023;1718414589820535134;"Sambil ngopi pagi, yg 2019 ikut pemilu dan memilih Prabowo. 2024 anda pilih siapa? Anies Baswedan 🔁 Bukan Prabowo ❤️";0;0;5;3;in;1199772596;1718414589820535134;sumadiseloguno;https://twitter.com/sumadiseloguno/status/1718414589820535134
Sat Oct 28 23:48:58 +0000 2023;1718414585022280093;"gue liatnya @prabowo ..moga beliau jadi Presiden 2 periode n selalu sehat walafiat..😇";0;0;0;0;in;1369573838007062535;1718414585022280093;AikHoki;https://twitter.com/AikHoki/status/1718414585022280093
Sat Oct 28 23:48:50 +0000 2023;1718414553707651417;"@DokterTifa Dok, Kalo Prabowo ft gibran apakah sama aja menggabungkan dinasti lama alias Bento dengan dinasti baru alias Benjo? 🤪🤪🤪";0;0;0;8;in;457334326;1718396752007668184;HilmiXero;https://twitter.com/HilmiXero/status/1718414553707651417
Sat Oct 28 23:48:11 +0000 2023;1718414389232161129;"@mihrabku Pantau dan kawal penghitungan suara...dokumentasi tiap TPS...Jan sampai kecolongan lagi...Prabowo mmg bgus tapi klo ada settingan kesehatan ..ya wassalam...boneka baby nanti yg mimpin negeri ini...gmn tadz..?? Ngeri banget .";0;0;0;0;in;1551898339872243713;1718236742162202790;SamoHun31918229;https://twitter.com/SamoHun31918229/status/1718414389232161129
Sat Oct 28 23:47:51 +0000 2023;1718414304620523590;"@NdrewsTjan Piliha Prabowo Pilih Sampah Orde Baru + Tukang Culik begitu 🤭";0;0;0;0;in;2295212979;1718281659441942726;marsiagian;https://twitter.com/marsiagian/status/1718414304620523590
Sat Oct 28 23:47:39 +0000 2023;1718414252720189502;"@NgkongRoses Tadinya saya Kagum terhadap Connie setelah tahu dia org Nasdem, maka disini kita berpikir keberpihakan. Kasus dlm video ini sdh clear dia dimpingi Syahroni bertemu saat diundang di kantor Kemhan oleh @prabowo ,dan semua sdh clear.";0;0;0;0;in;1111595565232459776;1718142263535263947;Kacaback678910;https://twitter.com/Kacaback678910/status/1718414252720189502
Sat Oct 28 23:47:38 +0000 2023;1718414248689488268;"Ada 3 Capres di Pemilu 2024 Yang 2 mendapatkan back-up stasiun TV Kita semua tahu, back-up acara2 maupun opini Hanya Pak @prabowo yang tidak punya itu, tapi survei selalu tertinggi";0;1;2;3;in;376007525;1718414248689488268;soeyoto1;https://twitter.com/soeyoto1/status/1718414248689488268
Sat Oct 28 23:47:33 +0000 2023;1718414229739610347;"Jangan kan prabowo, wiranto aja masih hidup nyaman kok. Pilpres kali ini bakalan golput lagi yang jelas.";0;0;0;0;in;1516227237204307969;1718414229739610347;_tauriii;https://twitter.com/_tauriii/status/1718414229739610347
Sat Oct 28 23:47:08 +0000 2023;1718414125666279922;"Erick Thohir Akhirnya Bersuara soal Rosan 'Ikut' Prabowo Gibran - CNN Indonesia https://t.co/LZvmbBGWh3 #Jokowinomics #MenataMasaDepan #BersamaPrabowo";0;0;8;0;in;1068101963059879936;1718414125666279922;AdrianaDaneen;https://twitter.com/AdrianaDaneen/status/1718414125666279922
Sat Oct 28 23:47:08 +0000 2023;1718414125527912614;"Erick Thohir Akhirnya Bersuara soal Rosan 'Ikut' Prabowo Gibran - CNN Indonesia https://t.co/rwJGGmT5Lr #Jokowinomics #MenataMasaDepan #BersamaPrabowo";0;0;5;0;in;1623634307125510150;1718414125527912614;fachriman13;https://twitter.com/fachriman13/status/1718414125527912614
Sat Oct 28 23:47:04 +0000 2023;1718414105768526023;"Erick Thohir Akhirnya Bersuara soal Rosan 'Ikut' Prabowo Gibran - CNN Indonesia https://t.co/yBTx7g7u5P #Jokowinomics #MenataMasaDepan #BersamaPrabowo";0;0;5;0;in;617983548;1718414105768526023;LoveThatBoyLiam;https://twitter.com/LoveThatBoyLiam/status/1718414105768526023
Sat Oct 28 23:47:03 +0000 2023;1718414104745107744;"@desikinanti_ Gus dur bilang paling ikhlas prabowo..";0;0;0;0;in;1707931165519425536;1718271368767393836;partaikiri;https://twitter.com/partaikiri/status/1718414104745107744
Sat Oct 28 23:46:07 +0000 2023;1718413870329717125;"Yeni Wahid, deklarasi dukung Ganjar- Machfud. Demokrat dan AHY dukung Prabowo-Gibran. Mereka semua memilih dukungan karena pernah di Khianati oleh Paslon Anies-Cak Imin. Pertanyaannya, Imam Besar dan kelompok HTI serta  Monaslimin 212, akan mendukung  Pasangan siapa yaa😁😁😁";0;0;0;0;in;1603566432167415808;1718413870329717125;Andizsss1;https://twitter.com/Andizsss1/status/1718413870329717125
Sat Oct 28 23:46:05 +0000 2023;1718413860447924256;"@tvOneNews Kasihan nih paslon dua ini nggak ada yang belain sekarang sendirian saja. Mau bilang PERUBAHAN ada di AMIN mau meneruskan ada di kubu PRABOWO. Wes ko wae pak jangan diteruskan semakin banyak yg nggak respek soalnya. Harusnya waktu itu GANJAR SANDY LEBIH ok";0;0;0;2;in;1395898405965111297;1718352075158102362;CentralFrom;https://twitter.com/CentralFrom/status/1718413860447924256
Sat Oct 28 23:45:50 +0000 2023;1718413797936050301;"@AbimaSaka @DokterTifa @GunRomli @Heraloebss @Dennysiregar7 @hasyimmah emtt kok diem diem aja nih pak prabowo";0;0;0;0;in;1712788634024460288;1718107701811835238;DewiAnggrainiA_;https://twitter.com/DewiAnggrainiA_/status/1718413797936050301
Sat Oct 28 23:45:47 +0000 2023;1718413782572286176;"@amuttaqintnt9 @hasyimmah Sebutin kemampuan prabowo dan gibran";0;0;0;0;in;1476532872043327491;1718059969831109093;RifkyNash;https://twitter.com/RifkyNash/status/1718413782572286176
Sat Oct 28 23:45:29 +0000 2023;1718413707775181115;"Semakin mesra, pihak banteng makin kheki, meledaaak!! #PrabowoGibran  #PDIP  Inilah Cerita Rahasia Kenapa Prabowo Luluh dan Mau Jadi Menteri Jokowi, Bukan Karena Dibujuk Luhut! via @jegtheme https://t.co/JyYe0pxjfJ";0;0;0;0;in;172292078;1718413707775181115;aldy_kan;https://twitter.com/aldy_kan/status/1718413707775181115
Sat Oct 28 23:45:26 +0000 2023;1718413696815518033;"@noneofurown @hasyimmah Kemampuan prabowo apa mas? Kemampuan gibran apa mas?";0;1;0;0;in;1476532872043327491;1718059969831109093;RifkyNash;https://twitter.com/RifkyNash/status/1718413696815518033
Sat Oct 28 23:45:23 +0000 2023;1718413684815647032;"@FayaAtika Kalo sy tdk fanatik sm siapa pun dr dl sy pilih pak @jokowi krn tdk mau pak prabowo jd presiden sampe skrng pandangan sy begitu, skrng seandai nya ketua hakim MK bukan paman mas gibran atau mas gibran tdk ingin jd capres putusan hakim MK apa ttp sm seperti ini";0;0;0;1;in;517933453;1718399925564969011;arjunkelana;https://twitter.com/arjunkelana/status/1718413684815647032
Sat Oct 28 23:45:08 +0000 2023;1718413619925590480;"Papera Sragen Punya Mobil Unik yang dilengkapi LCD Gede Banget, Bisa Karaoke - Soloraya https://t.co/3IE1tp1ri7 https://t.co/UoKAAzqOVB #Prabowo #BangkitBersama";0;0;0;0;in;465423257;1718413619925590480;haelamarie;https://twitter.com/haelamarie/status/1718413619925590480
Sat Oct 28 23:45:04 +0000 2023;1718413605568500153;"Jubir Gerindra: Kami menangkap semangat Pak SBY dan Mas AHY - ANTARA https://t.co/TsCEHB8CFZ #Prabowo #BangkitBersama";0;0;0;0;in;465423257;1718413605568500153;haelamarie;https://twitter.com/haelamarie/status/1718413605568500153
Sat Oct 28 23:45:00 +0000 2023;1718413588317237557;"Menyapa pendukung Prabowo Gibran dan Anies cak Imin, pendukung Ganjar nyerang sana sini mending g usah di sapa, tenggelamkan @PDI_Perjuangan bersama buzzer Rp nya, mbak @kikysaputrii selamat pagi";0;0;0;0;in;1437779461479489544;1718413588317237557;dilarehan;https://twitter.com/dilarehan/status/1718413588317237557
Sat Oct 28 23:44:58 +0000 2023;1718413580431741365;"@abu_waras Massa nya Ganjar dan Prabowo nggak terlihat. Maklum mahluk goib. Bisa terlihat kalo ada Amplop dan Sembakonya. 🤣🤣😀😀🤣";0;0;0;0;in;1504546110408331264;1718096630635999391;KATARAK_007;https://twitter.com/KATARAK_007/status/1718413580431741365
Sat Oct 28 23:44:57 +0000 2023;1718413573595308313;"@yennywahid @ganjarpranowo idealnya anda tegak lurus dgn suami, bukankah istri solekha itu nurut suami, suami ke prabowo ya mbok ikutin, minimal kalo gk ikutin jgn ajak orang2 ke ganjar, diem saja.";0;0;0;0;in;71232350;1718265553247461679;oketon;https://twitter.com/oketon/status/1718413573595308313
Sat Oct 28 23:44:56 +0000 2023;1718413568792842289;"Innalillahi wa inna ilayhi roji'uun. Allahummaghfirlahu Warhamhu Wa'aafihi Wa'fu'anhu.";0;0;0;0;in;92977801;1718413568792842289;akhbow;https://twitter.com/akhbow/status/1718413568792842289
Sat Oct 28 23:44:42 +0000 2023;1718413510991110456;"@ata0923 @tvOneNews Iye, ibarat yg lu survei pendukung sendiri dan di kandang sendiri mana valid? Prabowo, the president of Survey... 🤪🤪";0;0;0;0;in;457334326;1718154827354747266;HilmiXero;https://twitter.com/HilmiXero/status/1718413510991110456
Sat Oct 28 23:44:32 +0000 2023;1718413471526875338;"@sutanmangara Selama kelilingan wisata 3 hari di Jogja, sy hanya lihat 1 baliho AMIN. Paling banyak Prabowo (PSI) disusul Ganjar. Semoga jadi perhatian @NasDem @voiceofpkb @PKSejahtera @cakimiNOW @aniesbaswedan";0;0;0;1;in;1462337515025666050;1718077662235935069;kulbetdah;https://twitter.com/kulbetdah/status/1718413471526875338
